iter	Passed	Remaining
0	138	137873
1	142	71253
2	149	49581
3	154	38577
4	161	32223
5	165	27343
6	166	23653
7	168	20868
8	171	18875
9	173	17216
10	175	15784
11	177	14586
12	179	13609
13	180	12738
14	184	12086
15	185	11432
16	187	10814
17	188	10267
18	190	9812
19	191	9373
20	192	8972
21	194	8659
22	196	8329
23	197	8022
24	198	7739
25	199	7477
26	201	7248
27	202	7027
28	203	6816
29	204	6617
30	206	6446
31	207	6281
32	208	6117
33	209	5962
34	211	5829
35	212	5690
36	213	5559
37	214	5436
38	215	5319
39	217	5210
40	218	5117
41	219	5017
42	221	4926
43	222	4834
44	223	4744
45	224	4658
46	225	4577
47	226	4499
48	228	4430
49	229	4366
50	231	4302
51	232	4234
52	233	4169
53	234	4107
54	235	4047
55	236	3989
56	237	3933
57	240	3902
58	241	3858
59	243	3810
60	244	3759
61	245	3711
62	246	3665
63	247	3620
64	248	3577
65	249	3535
66	252	3512
67	254	3487
68	255	3453
69	257	3421
70	258	3388
71	260	3355
72	261	3326
73	264	3306
74	265	3276
75	266	3243
76	267	3211
77	269	3179
78	270	3149
79	271	3119
80	272	3091
81	273	3062
82	276	3058
83	278	3032
84	278	3002
85	280	2976
86	280	2947
87	281	2922
88	283	2898
89	284	2874
90	285	2852
91	288	2845
92	289	2824
93	290	2802
94	291	2780
95	292	2759
96	294	2737
97	295	2717
98	296	2696
99	297	2679
100	300	2671
101	301	2653
102	302	2635
103	303	2616
104	304	2597
105	305	2579
106	306	2561
107	308	2544
108	309	2528
109	311	2523
110	313	2510
111	314	2495
112	315	2479
113	317	2463
114	318	2447
115	319	2431
116	320	2422
117	323	2420
118	325	2408
119	326	2395
120	327	2381
121	328	2367
122	329	2350
123	330	2336
124	331	2322
125	332	2308
126	334	2296
127	336	2290
128	337	2278
129	338	2266
130	339	2254
131	340	2241
132	342	2229
133	343	2217
134	344	2206
135	345	2194
136	347	2191
137	349	2183
138	350	2172
139	351	2161
140	352	2150
141	354	2140
142	355	2129
143	356	2118
144	357	2107
145	359	2103
146	361	2097
147	362	2087
148	363	2077
149	365	2068
150	366	2058
151	367	2049
152	368	2039
153	369	2029
154	370	2020
155	371	2011
156	373	2004
157	374	1995
158	375	1988
159	377	1982
160	378	1974
161	380	1969
162	383	1971
163	385	1964
164	386	1957
165	387	1949
166	389	1940
167	390	1932
168	391	1924
169	392	1916
170	395	1916
171	396	1909
172	399	1910
173	401	1906
174	402	1898
175	404	1891
176	405	1884
177	406	1877
178	407	1869
179	408	1861
180	410	1858
181	413	1858
182	414	1852
183	415	1844
184	417	1837
185	418	1829
186	419	1822
187	420	1815
188	421	1808
189	424	1808
190	425	1801
191	426	1794
192	427	1788
193	428	1781
194	429	1774
195	430	1767
196	432	1761
197	434	1761
198	437	1759
199	438	1752
200	439	1746
201	440	1739
202	441	1733
203	442	1726
204	443	1720
205	444	1713
206	448	1716
207	449	1711
208	450	1705
209	451	1698
210	452	1692
211	453	1686
212	454	1680
213	456	1675
214	457	1669
215	458	1664
216	460	1660
217	461	1654
218	462	1648
219	463	1643
220	464	1637
