iter	Passed	Remaining
0	136	136755
1	138	69047
2	140	46543
3	142	35424
4	145	28931
5	147	24450
6	149	21184
7	150	18683
8	151	16711
9	152	15126
10	153	13832
11	154	12760
12	161	12248
13	162	11455
14	164	10782
15	166	10256
16	169	9782
17	171	9370
18	173	8942
19	174	8565
20	176	8236
21	178	7915
22	179	7621
23	180	7356
24	182	7135
25	192	7209
26	194	6997
27	195	6776
28	196	6570
29	197	6382
30	198	6204
31	204	6177
32	205	6035
33	207	5889
34	208	5760
35	210	5624
36	211	5496
37	212	5374
38	219	5399
39	222	5332
40	223	5223
41	224	5119
42	225	5020
43	226	4925
44	227	4833
45	231	4809
46	234	4755
47	236	4685
48	237	4610
49	238	4536
50	239	4464
51	241	4398
52	251	4496
53	252	4430
54	253	4363
55	254	4297
56	256	4236
57	257	4176
58	259	4133
59	261	4101
60	263	4050
61	264	4006
62	266	3963
63	267	3917
64	268	3869
65	270	3821
66	271	3775
67	272	3733
68	277	3748
69	278	3705
70	279	3663
71	281	3624
72	282	3592
73	283	3553
74	285	3516
75	286	3481
76	287	3444
77	291	3448
78	293	3415
79	294	3382
80	295	3352
81	296	3320
82	297	3283
83	298	3252
84	299	3223
85	300	3195
86	301	3168
87	306	3178
88	307	3150
89	308	3123
90	310	3101
91	311	3076
92	312	3050
93	313	3024
94	315	3001
95	316	2977
96	317	2953
97	322	2970
98	323	2946
99	325	2927
100	326	2906
101	327	2887
102	329	2866
103	330	2844
104	331	2823
105	332	2801
106	338	2826
107	340	2812
108	341	2793
109	343	2776
110	344	2761
111	346	2748
112	359	2821
113	360	2804
114	362	2787
115	368	2809
116	369	2789
117	370	2772
118	372	2757
119	374	2745
120	375	2729
121	376	2711
122	378	2696
123	383	2710
124	385	2695
125	386	2680
126	387	2663
127	388	2648
128	390	2634
129	391	2620
130	392	2606
131	398	2619
132	399	2606
133	401	2597
134	403	2585
135	404	2572
136	406	2560
137	408	2549
138	412	2555
139	414	2546
140	416	2534
141	416	2518
142	418	2505
143	419	2493
144	420	2479
145	421	2465
146	422	2451
147	423	2438
148	428	2449
149	430	2437
150	431	2424
151	432	2411
152	433	2399
153	434	2386
154	435	2373
155	436	2362
156	437	2350
157	440	2348
158	442	2341
159	443	2330
160	444	2316
161	445	2304
162	446	2293
163	447	2281
164	448	2270
165	449	2259
166	450	2248
167	452	2238
168	453	2228
169	458	2236
170	459	2226
171	460	2215
172	462	2208
173	464	2207
174	466	2198
175	467	2189
176	472	2196
177	474	2191
178	475	2182
179	477	2173
180	478	2165
181	479	2156
182	482	2151
183	484	2149
184	488	2150
185	489	2142
186	490	2134
187	492	2125
188	493	2116
189	494	2107
190	495	2098
191	496	2089
192	497	2081
193	501	2083
194	502	2075
195	504	2068
196	505	2060
197	506	2051
198	507	2042
199	508	2034
200	509	2025
201	510	2017
202	511	2009
203	517	2017
204	518	2012
205	519	2004
206	521	1995
207	522	1988
208	523	1981
209	524	1974
210	526	1967
211	527	1961
212	529	1957
213	531	1950
214	532	1942
215	533	1935
216	534	1928
217	535	1920
218	536	1912
219	537	1905
220	538	1898
221	539	1891
222	544	1897
223	545	1891
224	546	1884
225	548	1877
226	549	1871
227	551	1865
228	552	1859
229	553	1853
230	555	1847
231	559	1851
232	560	1845
233	561	1839
234	563	1833
235	564	1826
236	565	1821
237	567	1815
238	568	1809
